,speaker,sentence,gold,cluster tokens
95,Trump,"Joe, you agreed with Bernie Sanders, who's far left, on the manifesto, we call it.",0,joe agree bernie sander far leave manifesto
96,Trump,And that gives you socialized medicine.,0,give socialized medicine
97,Trump,Are you saying you didn't agree?,0,say agree
98,Trump,If Pocahontas would have left two days early you would have lost every primary.,0,pocahontas leave day early lose primary
99,Trump,"On Super Tuesday, you got very lucky.",0,super tuesday get lucky
100,Trump,But you agree.,0,agree
101,Trump,"Joe, you're the liar.",0,joe liar
102,Trump,You graduated last in your class not first in your class.,0,graduate class class
103,Trump,You'd be surprised.,0,surprised
104,Trump,You'd be surprised.,0,surprised
105,Trump,"Go ahead, Joe.",0,ahead joe
106,Trump,"Listen, you agreed with Bernie Sanders and the manifesto.",0,listen agree bernie sander manifesto
107,Trump,He just lost the left.,0,lose left
108,Trump,You just lost the left.,0,lose left
109,Trump,"You agreed with Bernie Sanders on a plan that you absolutely agreed to and under that plan  , they call it socialized medicine.",0,agree bernie sander plan absolutely agree plan socialize medicine
110,Trump,"Who is, Bernie?",0,bernie
111,Trump,"No, I want to give them better healthcare at a much lower price, because Obamacare is no good.",1,want well healthcare low price obamacare good
112,Trump,I've already fixed it.,0,fix
113,Trump,We've already fixed it to an extent.,0,fix extent
114,Trump,"Obamacare, as you might know but probably don't, Obamacare is no good.",0,obamacare know probably obamacare good
115,Trump,Obamacare is no good.,1,obamacare good
116,Trump,We made it better and I had a choice to make very early on.,1,well choice early
117,Trump,We took away the individual mandate.,0,take away individual mandate
118,Trump,"We guaranteed pre-existing conditions, but took away the individual mandate.",1,guarantee pre existing condition take away individual mandate
119,Trump,"Listen, this is the way it is.",0,listen way
120,Trump,And that destroyed ...,0,destroy
121,Trump,"They shouldn't even call it Obamacare, then I had a choice to make, do I let my people run it really well or badly?",0,obamacare choice let people run badly
122,Trump,"If I run it badly, they'll probably blame him, but they'll blame me.",0,run badly probably blame blame
123,Trump,"But more importantly, I want to help people.",0,importantly want help people
124,Trump,Okay.,0,okay
125,Trump,"I said, You've got to run it so well.",0,say get run
126,Trump,And I just had a meeting with them.,0,meeting
127,Trump,"They said the problem is, no matter how well you run Obamacare, it's a disaster.",1,say problem matter run obamacare disaster
128,Trump,It's too expensive.,1,expensive
129,Trump,"Premiums are too high, that it doesn't work.",1,premium high work
130,Trump,So we do want to get rid of it.,0,want rid
131,Trump,"Chris, we want to get rid of that and give something that's cheaper and better.",1,chris want rid cheap well
132,Trump,Go ahead.,0,ahead
133,Trump,Good.,0,good
134,Trump,"Of course, we do.",0,course
135,Trump,Are you going to pack the court?,0,go pack court
136,Trump,Are you going to pack the court?,0,go pack court
137,Trump,He doesn't want to answer the question.,0,want answer question
138,Trump,Why wouldn't you answer that question?,0,answer question
139,Trump,You want to put a lot of new Supreme Court Justices.,0,want lot new supreme court justice
140,Trump,Radical left.,0,radical left
141,Trump,"Listen, who is on your list, Joe?",0,listen list joe
142,Trump,Who's on your list?,0,list
143,Trump,He's going to pack the court.,0,go pack court
144,Trump,He is not going to give a list.,0,go list
145,Trump,"The people understand, Joe.",0,people understand joe
146,Trump,"47 years, you've done nothing.",0,year
147,Trump,They're understand.,0,understand
148,Trump,Wrong.,0,wrong
149,Trump,Wrong.,0,wrong
150,Trump,It's so wrong.,0,wrong
151,Trump,"So, if we would have listened to you.",0,listen
152,Trump,"If we would've listened to you, the country would have been left wide open, millions of people would have died, not 200,000.",1,listen country leave wide open million people die
153,Trump,And one person is too much.,1,person
154,Trump,It's China's fault.,0,china fault
155,Trump,It should have never happened.,0,happen
156,Trump,"They stopped it from going in, but it was China's fault.",1,stop go china fault
157,Trump,"And, by the way, when you talk about numbers, you don't know how many people died in China.",0,way talk know people die china
158,Trump,You don't know how many people died in Russia.,0,know people die russia
159,Trump,You don't know how many people died in India.,0,know people die india
160,Trump,"They don't exactly give you a straight count, just so you understand.",0,exactly straight count understand
161,Trump,"But if you look at what we've done, I closed it and you said, He's xenophobic.",0,look close say xenophobic
162,Trump,"He's a racist and he's xenophobic, because you didn't think I should have closed our country.",0,racist xenophobic think close country
163,Trump,Wait a minute.,0,wait minute
164,Trump,You didn't think we should have closed our country because you thought it was terrible.,1,think close country think terrible
165,Trump,You wouldn't have closed it for another two months.,1,close month
166,Trump,"By my doing it early, in fact, Dr. Fauci said, President Trump saved thousands of lives.",1,early fact dr fauci say president trump save thousand life
167,Trump,"Many of your Democrat Governors said, President Trump did a phenomenal job.",0,democrat governor say president trump phenomenal job
168,Trump,We worked with the Governor.,0,work governor
169,Trump,"Oh really, go take a look.",0,look
170,Trump,The Governors said I did a phenomenal job.,0,governor say phenomenal job
171,Trump,Most of them said that.,0,say
172,Trump,"In fact, people that would not be necessarily on my side said that, President Trump did a phenomenal job.",1,fact people necessarily say president trump phenomenal job
173,Trump,We did.,0,
174,Trump,We got the gowns.,1,get gown
175,Trump,We got the masks.,1,get mask
176,Trump,We made the ventilators.,1,ventilator
177,Trump,You wouldn't have made ventilators.,0,ventilator
178,Trump,And now we're weeks away from a vaccine.,1,week away vaccine
179,Trump,We're doing therapeutics already.,1,therapeutic
180,Trump,Fewer people are dying when they get sick.,1,few people die sick
181,Trump,Far fewer people are dying.,0,far few people die
182,Trump,We've done a great job.,1,great job
183,Trump,"The only thing I haven't done a good job, and that's because of the fake news, no matter what you say to them, they give you a bad press on it.",0,thing good job fake news matter bad press
184,Trump,It's just fake news.,0,fake news
185,Trump,"They give you good press, they give me bad press because that's the way it is, unfortunately.",0,good press bad press way unfortunately
186,Trump,But let me just say something.,0,let
187,Trump,I don't care.,0,care
188,Trump,I've gotten used to it.,0,get
189,Trump,"But I'll tell you, Joe, you could never have done the job that we did.",0,tell joe job
190,Trump,You don't have it in your blood.,0,blood
191,Trump,"You could've never done that, Joe.",0,joe
192,Trump,"Well, you didn't do very well in Swine Flu.",0,swine flu
193,Trump,"H1-N1, you were a disaster.",0,h n disaster
194,Trump,Your own Chief of Staff said you were a disaster.,0,chief staff say disaster
195,Trump,"A far less lethal disease, by the way.",0,far lethal disease way
196,Trump,"We would have lost far more people, far more people.",0,lose far people far people
197,Trump,You would have been months late.,0,month late
198,Trump,"You're months behind me, Joe.",0,month joe
199,Trump,"You don't trust Johnson & Johnson, Pfizer?",0,trust johnson johnson pfizer
200,Trump,"Well, I've spoken to the companies and we can have it a lot sooner.",0,speak company lot soon
201,Trump,It's a very political thing because people like this would rather make it political than save lives.,0,political thing people political save life
202,Trump,It is a very political thing.,0,political thing
203,Trump,"I've spoken to Pfizer, I've spoken to all of the people that you have to speak to, Moderna, Johnson & Johnson, and others.",1,speak pfizer speak people speak moderna johnson johnson
204,Trump,They can go faster than that by a lot.,1,fast lot
205,Trump,"It's become very political because the left... Or I don't know if I call them left, I don't know what I call them.",0,political left know leave know
206,Trump,I disagree with him.,0,disagree
207,Trump,"No, I disagree with both of them.",0,disagree
208,Trump,And he didn't say that.,0,
209,Trump,"He said it could be there, but it could also be much sooner.",0,say soon
210,Trump,I had him in my office two days ago.,0,office day ago
211,Trump,Because he said it's a possibility that we'll have the answer before November 1st.,0,say possibility answer november st
212,Trump,It could also be after that.,0,
213,Trump,"Well, we're going to deliver it right away.",1,go deliver right away
214,Trump,We have the military all set up.,1,military set
215,Trump,"Logistically, they're all set up.",0,logistically set
216,Trump,"We have our military that delivers soldiers and they can do 200,000 a day.",1,military deliver soldier day
217,Trump,They're going to be delivering-,0,go delivering
218,Trump,It's all set up.,0,set
219,Trump,"That was said sarcastically, and you know that.",0,say sarcastically know
220,Trump,That was said sarcastically.,0,say sarcastically
221,Trump,You'll have the vaccine sooner than that.,0,vaccine soon
222,Trump,We spoke to the scientists that are in charge-,0,speak scientist charge
223,Trump,... they will have the vaccine very soon.,0,vaccine soon
224,Trump,Did you use the word smart?,0,use word smart
225,Trump,"So you said you went to Delaware State, but you forgot the name of your college.",0,say go delaware state forget college
226,Trump,You didn't go to Delaware State.,0,delaware state
227,Trump,You graduated either the lowest or almost the lowest in your class.,0,graduate low low class
228,Trump,Don't ever use the word smart with me.,0,use word smart
229,Trump,Don't ever use that word.,0,use word
230,Trump,Because you know what?,0,know
231,Trump,"There's nothing smart about you, Joe.",0,smart joe
232,Trump,47 years you've done nothing.,0,year
233,Trump,"Let me just tell you something, Joe.",0,let tell joe
234,Trump,"If you would have had the charge of what I was put through, I had to close the greatest economy of the history of our country.",1,charge close great economy history country
235,Trump,"And by the way, now it's being built again and it's going up fast.",1,way build go fast
236,Trump,Okay.,0,okay
237,Trump,It's going up fast.,0,go fast
238,Trump,I look forward to talking about it.,0,look forward talk
239,Trump,Tell that to Nancy Pelosi.,0,tell nancy pelosi
240,Trump,"Tell that to Nancy Pelosi, and Schumer   Chuck.",0,tell nancy pelosi schumer chuck
241,Trump,"You probably play more than I do, Joe.",0,probably play joe
242,Trump,"Well, he wants to shut down this country and I want to keep it open, and we did a great thing by shutting it down-",1,want shut country want open great thing shut down
243,Trump,"Wait a minute, Joe.",0,wait minute joe
244,Trump,"Let me shut you down for a second, Joe, just for one second.",0,let shut second joe second
245,Trump,He wants to shut down the country.,0,want shut country
246,Trump,We just went through it.,1,go
247,Trump,"We had to, because we didn't know anything about the disease.",1,know disease
248,Trump,"Now we've found that elderly people with heart problems and diabetes and different problems are very, very vulnerable.",1,find elderly people heart problem diabetes different problem vulnerable
249,Trump,We learned a lot.,0,learn lot
250,Trump,"Young children aren't, even younger people aren't.",1,young child young people
251,Trump,"We've learned a lot, but he wants to shut it down.",1,learn lot want shut
252,Trump,More people will be hurt by continuing.,1,people hurt continue
253,Trump,"If you look at Pennsylvania, if you look at certain states that have been shut down, they have Democrat governors, all, one of the reasons they shut down is because they want to keep it shut down until after the election on November 3rd.",0,look pennsylvania look certain state shut democrat governor reason shut want shut election november rd
254,Trump,Because it's a political thing.,0,political thing
255,Trump,But those states-,0,states
256,Trump,Those states are not doing well that are shut down right now.,0,state shut right
257,Trump,He wants to shut down the whole country.,0,want shut country
258,Trump,"No, I think masks are okay.",1,think mask okay
259,Trump,"You have to understand, if you look...",0,understand look
260,Trump,"I mean, I have a mask right here.",0,mean mask right
261,Trump,I put a mask on when I think I need it.,1,mask think need
262,Trump,"Tonight, as an example, everybody's had a test and you've had social distancing and all of the things that you have to, but I wear masks-",1,tonight example everybody test social distancing thing wear masks
263,Trump,... when needed.,0,need
264,Trump,"When needed, I wear masks.",0,need wear mask
265,Trump,I don't wear a mask like him.,0,wear mask
266,Trump,"Every time you see him, he's got a mask.",0,time get mask
267,Trump,He could be speaking 200 feet away from him and he shows up with the biggest mask I've ever seen.,0,speak foot away show big mask see
268,Trump,I will say this-,0,this
269,Trump,And they've also said the opposite.,0,say opposite
270,Trump,They've also said-,0,said
271,Trump,Dr. Fauci.,0,dr fauci
272,Trump,Dr. Fauci said the opposite.,0,dr fauci say opposite
273,Trump,"He said very strongly, Masks are not good.",0,say strongly mask good
274,Trump,Then he changed his mind.,0,change mind
275,Trump,"He said, Masks are good.",0,say mask good
276,Trump,I'm okay with masks.,1,okay mask
277,Trump,I'm not fighting masks.,1,fight mask
278,Trump,Outside.,0,outside
279,Trump,"Well, it's true.",0,true
280,Trump,Nobody shows up to his rallies.,0,show rally
281,Trump,Because people want to hear what I have to say.,0,people want hear
282,Trump,I mean-,0,mean
283,Trump,...,0,
284,Trump,"I'm doing my job as a president, and I'll have 25, 35,000 people show up at airports.",0,job president people airport
285,Trump,We use airports and hangers and we have a lot of people-,0,use airport hanger lot people
286,Trump,"Well, so far we have had no problem whatsoever.",0,far problem whatsoever
287,Trump,It's outside.,0,outside
288,Trump,That's a big difference according to the experts.,0,big difference accord expert
289,Trump,"We do them outside, we have tremendous crowds, as you see, and literally on 24 hours notice.",0,outside tremendous crowd literally hour notice
290,Trump,And Joe does the circles and has three people someplace.,0,joe circle people someplace
291,Trump,We've had no negative effect.,0,negative effect
292,Trump,"We've had no negative effect, and we've had 35, 40,000 people at these rallies.",0,negative effect people rally
293,Trump,"If you could get the crowds, you would have done the same thing.",0,crowd thing
294,Trump,But you can't.,0,
295,Trump,Nobody cares.,0,care
296,Trump,No cares.,0,care
297,Trump,Yes.,0,yes
298,Trump,Much faster.,0,fast
299,Trump,So we built the greatest economy in history.,1,build great economy history
300,Trump,We closed it down because of the China plague.,0,close china plague
301,Trump,"When the plague came in, we closed it down, which was very hard psychologically to do.",1,plague come close hard psychologically
302,Trump,He didn't think we should close it down and he was wrong.,1,think close wrong
303,Trump,"Again, two million people would be dead now instead of...",1,million people dead instead
304,Trump,"Still, 204,000 people is too much.",1,people
305,Trump,One person is too much.,0,person
306,Trump,Should have never happened from China.,1,happen china
307,Trump,But what happened is we closed it down and now we're reopening and we're doing record business.,1,happen close reopen record business
308,Trump,We had 10.4 million people in a four month period that we've put back into the workforce.,1,million people month period workforce
309,Trump,That's a record the likes of which nobody's ever seen before.,0,record see
310,Trump,And he wants to close down the...,0,want close
311,Trump,He will shut it down again.,0,shut
312,Trump,He will destroy this country.,0,destroy country
313,Trump,"A lot of people, between drugs and alcohol and depression, when you start shutting it down, you take a look at what's happening at some of your Democrat-run states where they have these tough shutdowns.",1,lot people drug alcohol depression start shut look happen democrat run state tough shutdown
314,Trump,And I'm telling you it's because they don't want to open it.,1,tell want open
315,Trump,"One of them came out last week, you saw that, Oh, we're going to open up on November 9th.",0,come week see go open november th
316,Trump,Why November 9th?,0,november th
317,Trump,Because it's after the election.,0,election
318,Trump,They think they're hurting us by keeping them closed.,1,think hurt keep close
319,Trump,They're hurting people.,1,hurt people
320,Trump,People know what to do.,1,people know
321,Trump,They can social distance.,1,social distance
322,Trump,"They can wash their hands, they can wear masks.",1,wash hand wear mask
323,Trump,"They can do whatever they want, but they got to open these states up.",1,want get open state
324,Trump,"When you look at North Carolina, when you look, and these governors are under siege, Pennsylvania, Michigan, and a couple of others, you got to open these states up.",1,look north carolina look governor siege pennsylvania michigan couple get open state
325,Trump,It's not fair.,0,fair
326,Trump,You're talking about almost it's like being in prison.,1,talk prison
327,Trump,"And you look at what's going on with divorce, look at what's going on with alcoholism and drugs.",1,look go divorce look go alcoholism drug
328,Trump,"It's a very, very sad thing.",1,sad thing
329,Trump,And he'll close down the whole country.,0,close country
330,Trump,This guy will close down the whole country and destroy our country.,1,guy close country destroy country
331,Trump,"Our country is coming back incredibly well, setting records as it does it.",1,country come incredibly set record
332,Trump,"We don't need somebody to come in and say, Let's shut it down.",1,need somebody come let shut
333,Trump,That's wrong.,0,wrong
334,Trump,I have to respond to that.,0,respond
335,Trump,"Excuse me, he made a statement.",0,excuse statement
336,Trump,"No, people want their schools open.",1,people want school open
337,Trump,They don't want to be shut down.,1,want shut
338,Trump,They don't want their state shut down.,0,want state shut
339,Trump,They want their restaurants.,0,want restaurant
340,Trump,I look at New York.,0,look new york
341,Trump,It's so sad what's happening in New York.,0,sad happen new york
342,Trump,"It's almost like a ghost town, and I'm not sure it can ever recover what they've done to New York.",0,ghost town sure recover new york
343,Trump,People want their places open.,0,people want place open
344,Trump,They want to get back to their lives.,1,want life
345,Trump,"They'll be careful, but they want their schools open.",0,careful want school open
346,Trump,I'm the one that brought back football.,0,bring football
347,Trump,"By the way, I brought back Big Ten football.",1,way bring big football
348,Trump,It was me and I'm very happy to do it-,0,happy it
349,Trump,... and people of Ohio are very proud of me.,1,people ohio proud
350,Trump,And you know how I found out?,1,know find
351,Trump,When  .,0,
352,Trump,"I paid millions of dollars in taxes, millions of dollars of income tax.",0,pay million dollar taxis million dollar income tax
353,Trump,"And let me just tell you, there was a story in one of the papers that paid-",0,let tell story paper paid
354,Trump,"I paid $38 million one year, I paid $27 million one year.",1,pay million year pay million year
355,Trump,"You'll see it as soon as it's finished, you'll see it.",1,soon finish
356,Trump,"You know, if you wanted to, go to the Board of Elections.",1,know want board election
357,Trump,"There's 118 page or so report that says everything I have, every bank I have, I'm totally under leveraged because the assets are extremely good, and I built a great company.",1,page report say bank totally leveraged asset extremely good build great company
358,Trump,But let me tell you-,0,let tell you
359,Trump,Let me-,0,let me
360,Trump,Millions of dollars.,0,million dollar
361,Trump,"Millions of dollars, yes.",0,million dollar yes
362,Trump,Millions of dollars.,0,million dollar
363,Trump,And you'll get to see it.,0,
364,Trump,And you'll get to see it.,0,
365,Trump,But let me just tell you-,0,let tell you
366,Trump,"Chris, let me just say something, that it was the tax laws.",1,chris let tax law
367,Trump,I don't want to pay tax.,1,want pay tax
368,Trump,"Before I came here, I was a private developer, I was a private business people.",1,come private developer private business people
369,Trump,"Like every other private person, unless they're stupid, they go through the laws, and that's what it is.",1,private person stupid law
370,Trump,He passed a tax bill that gave us all these privileges for depreciation and for tax credits.,1,pass tax bill give privilege depreciation tax credit
371,Trump,"We build the building and we get tax credits, like the hotel on Pennsylvania Avenue.",1,build building tax credit hotel pennsylvania avenue
372,Trump,"Which by the way, was given to me by the Obama administration, if you can believe that.",1,way give obama administration believe
373,Trump,"Now the man got fired right after that happened, but that's-",0,man get fire right happen is
374,Trump,That's okay.,0,okay
375,Trump,But why didn't you do it over the last 25 years?,0,year
376,Trump,Why didn't you do it over the last 25 years?,0,year
377,Trump,You were a Senator and  -,0,senator
378,Trump,"Hey, Joe, let me just tell you, Joe.",0,joe let tell joe
379,Trump,"In 47 months, I've done more than you've done in 47 years, Joe.",0,month year joe
380,Trump,We've done things that you never even thought of doing.,1,thing think
381,Trump,"Including fixing the broken military that you gave me, including taking care of your debts.",1,include fix broken military give include take care debt
382,Trump,"Why didn't you do it before, when you were vice president with Obama?",0,vice president obama
383,Trump,I got it done.,0,get
384,Trump,And you know what happened?,0,know happen
385,Trump,Our economy boomed like it's never boomed before.,0,economy boom boom
386,Trump,Excuse me.,0,excuse
387,Trump,They had the slowest economic recovery since 1929.,1,slow economic recovery
388,Trump,It was the slowest recovery.,0,slow recovery
389,Trump,"Also, they took over something that was down here.",0,take
390,Trump,All you had to do is turn on the lights and you pick up a lot.,0,turn light pick lot
391,Trump,"But they had the slowest economic recovery since 1929, and let me tell you about the stock market.",0,slow economic recovery let tell stock market
392,Trump,"When the stock market goes up, that means jobs.",1,stock market go mean job
393,Trump,It also means 401ks.,1,mean ks
394,Trump,"If you got in, if you ever became president with your ideas, you want to terminate my taxes.",1,get president idea want terminate taxis
395,Trump,"I'll tell you what, you'll lose.",1,tell lose
396,Trump,Half of the companies that have poured in here will leave.,1,half company pour leave
397,Trump,"And plenty of companies that are already here, they'll leave for other places.",0,plenty company leave place
398,Trump,"They will leave and you will have a depression, the likes of which you've never seen.",1,leave depression see
399,Trump,It wasn't blooming.,0,bloom
400,Trump,He was in booming.,0,boom
401,Trump,It was the weakest recovery since 1929.,0,weak recovery
402,Trump,When COVID came along.,0,covid come
403,Trump,"Excuse me, Chris, wait.",0,excuse chris wait
404,Trump,Chris.,0,chris
405,Trump,"They said it would take... No, you're on number two.",0,say
406,Trump,"Chris, Chris.",0,chris chris
407,Trump,They said it would take-,1,say take
408,Trump,... a miracle to bring back manufacturing.,1,miracle bring manufacturing
409,Trump,"I brought back 700,000 jobs.",1,bring job
410,Trump,They brought back nothing.,0,bring
411,Trump,They gave up on manufacturing.,0,give manufacturing
412,Trump,... standard fare.,0,standard fare
413,Trump,He totally gave up on manufacturing.,0,totally give manufacturing
414,Trump,Ohio had the best year it's ever had last year.,0,ohio good year year
415,Trump,Michigan had the best year they've ever had.,0,michigan good year
416,Trump,"Many car companies came in from Germany, from Japan, went to Michigan, went to Ohio and they didn't come in with you.",1,car company come germany japan go michigan go ohio come
417,Trump,.,0,
418,Trump,China ate your lunch-  .,0,china eat lunch
419,Trump,"China ate your lunch, Joe.",0,china eat lunch joe
420,Trump,And no wonder your son goes in and he takes out billions of dollars.,1,wonder son go take billion dollar
421,Trump,He takes out billions of dollars to manage.,0,take billion dollar manage
422,Trump,He makes millions of dollars.,1,make million dollar
423,Trump,"And also, while we're at it, why is it just out of curiosity, the mayor of Moscow's wife gave you a son three and a half million dollars?",1,curiosity mayor moscow wife give son half million dollar
424,Trump,What did he do to deserve it?,0,deserve
425,Trump,What did he do with-,0,with
426,Trump,"... to deserve $183,000?",0,deserve
427,Trump,"Oh really, he didn't get three and a half million?",0,half million
428,Trump,"Well wait, he didn't get three and a half million dollars, Joe?",0,wait half million dollar joe
429,Trump,He got three and a half million-,0,get half million
430,Trump,... dollars.,0,dollar
431,Trump,It's a fact.,0,fact
432,Trump,"Did Burisma pay him 183,000 a month, with no experience in energy?",0,burisma pay month experience energy
433,Trump,I think he did.,0,think
434,Trump,The media.,0,medium
435,Trump,"By the media, because they refuse to talk about it-",0,medium refuse talk it
436,Trump,... because they're embarrassed.,0,embarrassed
437,Trump,"So let me ask you this, Joe-  .",0,let ask joe
438,Trump,He got three and a half million dollars from Moscow.,0,get half million dollar moscow
439,Trump,I'd like to know who they are.,0,know
440,Trump,I'll fire them.,0,fire
441,Trump,Some people don't do a good job.,0,people good job
442,Trump,"Hey, let me just tell you, Joe-",0,let tell joe
443,Trump,"Three and a half million, Joe.",0,half million joe
444,Trump,Why did he deserve three and a half million from Moscow?,0,deserve half million moscow
445,Trump,My family-,0,family
446,Trump,My family lost a fortune by coming down and helping us with governance.,0,family lose fortune come help governance
447,Trump,Every single one of them lost a fortune-,0,single lose fortune
448,Trump,"Chris, can I be honest?",0,chris honest
449,Trump,It's a very important question-,0,important question
450,Trump,He stood up-,0,stand up
451,Trump,... and the threatened Ukraine-,0,threaten ukraine
452,Trump,... with a billion dollars-,0,billion dollars
453,Trump,"Well, that's all right, but he does plenty.",0,right plenty
454,Trump,He does plenty.,0,plenty
455,Trump,"Oh yeah, sure.",0,sure
456,Trump,That's true.,0,true
457,Trump,So-,0,so
458,Trump,"You did a crime bill, 1994, where you call them super predators.",1,crime bill super predator
459,Trump,African-Americans are super predators and they've never forgotten it.,1,african americans super predator forget
460,Trump,They've never forgotten it.,0,forget
